Name,Designation,Company,Country,Best Available LinkedIn ID,Best Available LinkedIn URL,Verification Status,LinkedIn ID,LinkedIn URL,Match Status,Confidence,Match Evidence,Source URL
Nirmala Sitharaman,Hon'ble Minister for Finance & Corporate Affairs,Government of India,India,nsitharaman,https://www.linkedin.com/in/nsitharaman/,Verified - provided by GFF,nsitharaman,https://www.linkedin.com/in/nsitharaman/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Nitin Gadkari,Hon'ble Minister for Roads Transport & Highways,Government of India,India,nitin-gadkari-5b7b2b227,https://www.linkedin.com/in/nitin-gadkari-5b7b2b227/,Verified - high-confidence public match,nitin-gadkari-5b7b2b227,https://www.linkedin.com/in/nitin-gadkari-5b7b2b227/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/nitin-gadkari-5b7b2b227/; margin=1.00,https://globalfintechfest.com/speakers
Tuhin Kanta Pandey,Chairman,Securities and Exchange Board of India,India,,,No indexed candidate found,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Kalyanaraman Rajaraman,Chairperson,International Financial Services Centres Authority (IFSCA),India,kalyanaraman-rajaraman,https://www.linkedin.com/in/kalyanaraman-rajaraman/,Verified - provided by GFF,kalyanaraman-rajaraman,https://www.linkedin.com/in/kalyanaraman-rajaraman/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Sivasubramanian Ramann,Chairperson,Pension Fund Regulatory and Development Authority,India,s-ramann-6244956,https://www.linkedin.com/in/s-ramann-6244956/,Candidate - manual review required,,,ambiguous,0.7,similar_name; designation_match; candidate=https://www.linkedin.com/in/s-ramann-6244956/; margin=1.00,https://globalfintechfest.com/speakers
Rajesh Agrawal,Commerce Secretary,"Ministry of Commerce & Industry, Government of India",India,agrawalrajesh,https://www.linkedin.com/in/agrawalrajesh/,Candidate - manual review required,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/agrawalrajesh/; margin=0.00,https://globalfintechfest.com/speakers
Sanjay Lohiya,"Secretary, Department of Financial Services","Ministry of Finance, Government of India",India,sanjay-lohiya-0802a5265,https://www.linkedin.com/in/sanjay-lohiya-0802a5265/,Candidate - manual review required,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/sanjay-lohiya-0802a5265/; margin=0.00,https://globalfintechfest.com/speakers
Nandan Nilekani,Chairman,Infosys,India,,,No indexed candidate found,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Pablo Hernández de Cos,General Manager,BIS,Switzerland,pablo-hernández-de-cos-22bbaa17,https://www.linkedin.com/in/pablo-hernández-de-cos-22bbaa17/,Verified - high-confidence public match,pablo-hernández-de-cos-22bbaa17,https://www.linkedin.com/in/pablo-hernández-de-cos-22bbaa17/,matched,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/pablo-hernández-de-cos-22bbaa17/; margin=1.00,https://globalfintechfest.com/speakers
Shaji Krishnan V,Chairman,National Bank for Agriculture and Rural Development,India,shajikrishnanv,https://www.linkedin.com/in/shajikrishnanv/,Verified - provided by GFF,shajikrishnanv,https://www.linkedin.com/in/shajikrishnanv/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
