Name,Designation,Company,Country,LinkedIn ID,LinkedIn URL,Match Status,Confidence,Match Evidence,Source URL
Nirmala Sitharaman,Hon'ble Minister for Finance & Corporate Affairs,Government of India,India,nsitharaman,https://www.linkedin.com/in/nsitharaman/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Nitin Gadkari,Hon'ble Minister for Roads Transport & Highways,Government of India,India,,,ambiguous,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/nitin-gadkari-25211322/; margin=0.00,https://globalfintechfest.com/speakers
Tuhin Kanta Pandey,Chairman,Securities and Exchange Board of India,India,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Kalyanaraman Rajaraman,Chairperson,International Financial Services Centres Authority (IFSCA),India,kalyanaraman-rajaraman,https://www.linkedin.com/in/kalyanaraman-rajaraman/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Sivasubramanian Ramann,Chairperson,Pension Fund Regulatory and Development Authority,India,s-ramann-6244956,https://www.linkedin.com/in/s-ramann-6244956/,matched,1.0,similar_name; company_match; designation_match; candidate=https://www.linkedin.com/in/s-ramann-6244956/; margin=1.00,https://globalfintechfest.com/speakers
Rajesh Agrawal,Commerce Secretary,"Ministry of Commerce & Industry, Government of India",India,,,ambiguous,0.5,similar_name; candidate=https://www.linkedin.com/in/rajesh-k-agrawal-31a88625/; margin=0.00,https://globalfintechfest.com/speakers
Sanjay Lohiya,"Secretary, Department of Financial Services","Ministry of Finance, Government of India",India,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Nandan Nilekani,Chairman,Infosys,India,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Pablo Hernández de Cos,General Manager,BIS,Switzerland,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Shaji Krishnan V,Chairman,National Bank for Agriculture and Rural Development,India,shajikrishnanv,https://www.linkedin.com/in/shajikrishnanv/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Ashok Chandra,MD & CEO,Punjab National Bank,India,ashok-chandra-5261955b,https://www.linkedin.com/in/ashok-chandra-5261955b/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/ashok-chandra-5261955b/; margin=1.00,https://globalfintechfest.com/speakers
Debadatta Chand,Managing Director & CEO,Bank of Baroda,India,dr-debadatta-chand-0208b711a,https://www.linkedin.com/in/dr-debadatta-chand-0208b711a/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/dr-debadatta-chand-0208b711a/; margin=1.00,https://globalfintechfest.com/speakers
Rajiv Anand,Managing Director & CEO,IndusInd Bank,India,rajiv-anand-2730946,https://www.linkedin.com/in/rajiv-anand-2730946/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/rajiv-anand-2730946/; margin=0.30,https://globalfintechfest.com/speakers
Rajneesh Karnatak,Managing Director & CEO,Bank of India,India,rajneeshkarnatak,https://www.linkedin.com/in/rajneeshkarnatak/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/rajneeshkarnatak/; margin=0.30,https://globalfintechfest.com/speakers
Vaidyanathan Vembu,MD & CEO,IDFC FIRST Bank,India,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Kris Gopalakrishnan,"Chair, GFF2026, Founder - Infosys and Chairman",Axilor Ventures,India,kris-gopalakrishnan-10b49950,https://www.linkedin.com/in/kris-gopalakrishnan-10b49950/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Simon Gorbutt,Deputy Chief Executive Officer,Luxembourg for Finance,Luxembourg [Grand Dutchy of],sgorbutt,https://www.linkedin.com/in/sgorbutt/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Ajay Kaushal,Co-Founder & CEO,BillDesk,India,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/ajay-kaushal-6a63051/; margin=1.00,https://globalfintechfest.com/speakers
Akash Sinha,Co-founder & CEO,Cashfree Payments India Private Limited,India,sinhaakash,https://www.linkedin.com/in/sinhaakash/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Alexandre Kech,Chief Executive Officer,Global Legal Entity Identifier Foundation (GLEIF),Switzerland,alexandrekech,https://www.linkedin.com/in/alexandrekech/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Alexandre Stervinou,Director Currency and Retail Payments,Banque de France,France,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/alexandre-stervinou-41975845/; margin=1.00,https://globalfintechfest.com/speakers
AMIT KUMAR JAIN,Director (Operations & Services),Delhi Metro Rail Corporation,India,,,ambiguous,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/akjain2000/; margin=0.00,https://globalfintechfest.com/speakers
Amrish Rau,Chief Executive Officer,Pine Labs,Singapore,amrish-rau-4158339,https://www.linkedin.com/in/amrish-rau-4158339/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Anjani Kumar Rathor,Group Head - Digital and Customer Experience,HDFC BANK,India,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Ankit Ratan,Co-founder & CEO,Signzy,United States of America,ankitratan,https://www.linkedin.com/in/ankitratan/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Anubrata Biswas,MD and CEO,Airtel Payments Bank,India,anubratabiswas,https://www.linkedin.com/in/anubratabiswas/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/anubratabiswas/; margin=1.00,https://globalfintechfest.com/speakers
Anuradha Bhatia,CTO,Standard Chartered,India,anuradha-bhatia,https://www.linkedin.com/in/anuradha-bhatia/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/anuradha-bhatia/; margin=1.00,https://globalfintechfest.com/speakers
Anurag Sinha,Co-founder & CEO,FPL Technologies,India,anuragsinha2,https://www.linkedin.com/in/anuragsinha2/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Arundhati Bhattacharya,"President & CEO, Salesforce South Asia",Salesforce.com India Pvt. Ltd.,India,arundhati-bhattacharya-salesforce,https://www.linkedin.com/in/arundhati-bhattacharya-salesforce/,matched,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/arundhati-bhattacharya-salesforce/; margin=0.20,https://globalfintechfest.com/speakers
Benjamin Lee,Chief Operating Officer,Nexus Global Payments Ltd,Singapore,benjamin-lee-4461062b,https://www.linkedin.com/in/benjamin-lee-4461062b/,matched,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/benjamin-lee-4461062b/; margin=0.20,https://globalfintechfest.com/speakers
Brijesh Singh,"Principal Secretary, Directorate of Information & Public Relations",Government of Maharashtra,India,brijesh-singh-b53b69172,https://www.linkedin.com/in/brijesh-singh-b53b69172/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/brijesh-singh-b53b69172/; margin=1.00,https://globalfintechfest.com/speakers
Chetan Krishnaswamy,VP Public Policy,Amazon,India,chetan-krishnaswamy-87280210,https://www.linkedin.com/in/chetan-krishnaswamy-87280210/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
David Watson,President & CEO,The Clearing House,United States of America,david-watson-9337561,https://www.linkedin.com/in/david-watson-9337561/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/david-watson-9337561/; margin=0.10,https://globalfintechfest.com/speakers
Dee Low,Chief Commercial & Partnerships Officer,Nexus Global Payments,Singapore,dee-low,https://www.linkedin.com/in/dee-low/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/dee-low/; margin=1.00,https://globalfintechfest.com/speakers
Dinesh Pai,"Head, Investments",Zerodha,India,,,ambiguous,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/dinesh-pai/; margin=0.00,https://globalfintechfest.com/speakers
