Name,Designation,Company,Country,LinkedIn ID,LinkedIn URL,Match Status,Confidence,Match Evidence,Source URL
Sushil Katdare,"CX Director, GCI & ViiV",GSK,,sushil-katdare-b131b26,https://www.linkedin.com/in/sushil-katdare-b131b26/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Dosik Bang,Head of APAC Cross-Brand Marketing,IBM,,dsbang,https://www.linkedin.com/in/dsbang/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Ishan Gupta,CEO,iMark Infotech,,ishangupta-imark,https://www.linkedin.com/in/ishangupta-imark/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
"Chetan Chauhan Group Manager – Sales, APAC",VWO (Wingify / AB Tasty),,,1chetanchauhan,https://www.linkedin.com/in/1chetanchauhan/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Eugenia Y.,"Regional Head of Commercial and Marketing, Consumer Health",Menarini Asia-Pacific,,eugenia-y-3609b4117,https://www.linkedin.com/in/eugenia-y-3609b4117/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Brijesh Munyal,Co-Founder & CEO,Ethinos Digital Marketing,,brijesh-munyal-0b6b557,https://www.linkedin.com/in/brijesh-munyal-0b6b557/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Raghav,(Rakz) Mathur Chief Operating Officer,Pounce,,rakzmathur,https://www.linkedin.com/in/rakzmathur/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Kin Peng,Chan Director,Kasatria Group of Companies,,kasatria,https://www.linkedin.com/in/kasatria/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Simran Kaur,CEO,Pounce,,simrankaur-pounce,https://www.linkedin.com/in/simrankaur-pounce/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Madhurjya Banerjee,"Senior Global Brand Director, Oral Care",Unilever,,madhurjya,https://www.linkedin.com/in/madhurjya/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Piyush Gupta,Managing Director,iMark Infotech,,imark-piyush-gupta,https://www.linkedin.com/in/imark-piyush-gupta/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
See Wee,Heng Deputy Director,e2i,,seeweeheng,https://www.linkedin.com/in/seeweeheng/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Frank,(Yu Hang) Ng VP Commercial & Marketing,PRISM+,,frankngyh,https://www.linkedin.com/in/frankngyh/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Zeenath Kuraisha,Head of Sales Advisory and Academy,APACSMA – The E-University for Sales,,zeena,https://www.linkedin.com/in/zeena/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Sebastien Boisseau,"Regional Head of Digital Customer Engagement, Data & Analytics | APAC",Menarini Asia-Pacific,,sebastien-boisseau-3736b21,https://www.linkedin.com/in/sebastien-boisseau-3736b21/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Pei Ee,Chng Head of B2B Digital Marketing and Marcom,Canon Singapore,,pei-ee-chng-7b93211a,https://www.linkedin.com/in/pei-ee-chng-7b93211a/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Dr. Mukundan,"A P President of AI and Data Science, Board of Director & CGO",Champions Group,,mukundanap,https://www.linkedin.com/in/mukundanap/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
John Huang,Head of Growth,Circles,,johnhuangy,https://www.linkedin.com/in/johnhuangy/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
Pooja Chhabria,Vice President Marketing APAC,Adyen,,poojachhabria,https://www.linkedin.com/in/poojachhabria/,provided,1.0,visible_linkedin_links LinkedIn field,https://www.intriguesummit.com/madverse2026singapore
